№,Название,Адрес,Телефон,Рейтинг,Отзывов,Фото,Средний чек,Категории,URL 2GIS,HTML файл
1,KaRima,"проспект Мангилик Ел, 54, Астана",+77008830000,4.5,3362,180,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001062539740,cafe_0001.html
2,SF,"улица Кайым Мухамедханов, 19а, Астана",+77777888888,4.4,14809,1385,Не указано,"Шавермы, Бизнес-ланч, Завтрак, Заказ столиков, Заказ навынос",https://2gis.kz/astana/firm/70000001081796894,cafe_0002.html
3,Огонёк,"улица Балкантау, 143, Астана",+77779991893,4.6,190,43,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001110023287,cafe_0003.html
4,Quyrdaq House,"улица Туркестан, 10, Астана",+77028590519,4.7,2263,463,3000 тнг,Чек 3000 тнг,https://2gis.kz/astana/firm/70000001066032033,cafe_0004.html
5,Гол+Пас,"проспект Мангилик Ел, 17, Астана",+77474436930,4.7,211,143,Не указано,Спортивный бар,https://2gis.kz/astana/firm/70000001098729335,cafe_0005.html
6,La Mia Piazza,"проспект Туран, 22/1, Астана",+77010225022,4.7,1872,609,9000 тнг,Чек 9000 тнг,https://2gis.kz/astana/firm/70000001055933855,cafe_0006.html
7,ШАВЕРМА,"улица Сыганак, 3а, Астана",+77008099999,4.7,524,42,2500 тнг,Чек 2500 тнг,https://2gis.kz/astana/firm/70000001090335055,cafe_0007.html
8,Arnau,"проспект Туран, 30, Астана",+77172279111,4.8,465,220,15000 тнг,Чек 15000 тнг,https://2gis.kz/astana/firm/70000001018336720,cafe_0008.html
9,Svoy,"улица Сыганак, 33, Астана",+77770900333,Нет рейтинга,15,40,Не указано,"Стейк-хаус, Авторская кухня, Бизнес-ланч, Заказ столиков, Винная карта",https://2gis.kz/astana/firm/70000001110614121,cafe_0009.html
10,Arqa,"улица Гейдара Алиева, 2, Астана",+77773337033,4.8,193,191,5000 тнг,Чек 5000 тнг,https://2gis.kz/astana/firm/70000001104653792,cafe_0010.html
11,На Востоке,"проспект Туран, 44/2, Астана",+77022350988,4.5,976,290,3500 тнг,Чек 3500 тнг,https://2gis.kz/astana/firm/70000001082380718,cafe_0011.html
12,Vo Dvore,"проспект Мангилик Ел, 47, Астана",+77020512712,4.5,831,153,7000 тнг,Чек 7000 тнг,https://2gis.kz/astana/firm/70000001093349648,cafe_0012.html
